date,ipc_index,inflation
2008-Q1,71.9664,
2008-Q2,71.8962,
2008-Q3,73.1432,
2008-Q4,74.2341,
2009-Q1,74.7977,3.9342
2009-Q2,75.3258,4.7702
2009-Q3,74.9523,2.4734
2009-Q4,75.1293,1.2059
2010-Q1,75.3295,0.711
2010-Q2,75.4082,0.1094
2010-Q3,76.1119,1.5471
2010-Q4,77.0753,2.5902
2011-Q1,77.4979,2.8786
2011-Q2,77.5449,2.8335
2011-Q3,78.5898,3.2556
2011-Q4,79.2238,2.7875
2012-Q1,79.1005,2.0679
2012-Q2,79.7784,2.8803
2012-Q3,80.378,2.2754
2012-Q4,81.0319,2.2823
2013-Q1,81.1521,2.5937
2013-Q2,81.3166,1.9281
2013-Q3,81.812,1.7841
2013-Q4,82.6462,1.9922
2014-Q1,82.203,1.295
2014-Q2,82.0987,0.9618
2014-Q3,84.0541,2.7406
2014-Q4,84.5755,2.3344
2015-Q1,84.6016,2.9179
2015-Q2,85.3316,3.9378
2015-Q3,85.9052,2.2023
2015-Q4,86.0355,1.7263
2016-Q1,85.8487,1.4741
2016-Q2,86.2138,1.0338
2016-Q3,86.4377,0.6199
2016-Q4,86.3486,0.3639
2017-Q1,86.218,0.4302
2017-Q2,86.6873,0.5492
2017-Q3,87.0262,0.6808
2017-Q4,87.1044,0.8753
2018-Q1,86.948,0.8467
2018-Q2,87.3912,0.812
2018-Q3,87.7823,0.8688
2018-Q4,88.6427,1.766
2019-Q1,88.9034,2.2489
2019-Q2,89.6073,2.5358
2019-Q3,90.0766,2.6136
2019-Q4,90.7805,2.4117
2020-Q1,91.2152,2.6004
2020-Q2,91.7958,2.4423
2020-Q3,92.3202,2.4908
2020-Q4,92.8076,2.233
2021-Q1,92.9341,1.8844
2021-Q2,93.7228,2.0992
2021-Q3,94.5325,2.3963
2021-Q4,95.2766,2.6604
2022-Q1,97.0253,4.4023
2022-Q2,99.1907,5.8342
2022-Q3,101.1102,6.9581
2022-Q4,102.6738,7.7639
2023-Q1,104.7513,7.9628
2023-Q2,107.0735,7.9471
2023-Q3,108.5449,7.3531
2023-Q4,109.0836,6.2429
2024-Q1,109.9667,4.9788
2024-Q2,111.8333,4.4454
2024-Q3,112.9207,4.0314
2024-Q4,114.2116,4.701
