date,ipc_index,gdp_current,gdp_real,m2,credit,fx_reserves,log_fx_reserves,gov_revenue_hd,gov_spending,avoirs_ext_nets,inflation,delta_inflation,gdp_growth,deflator_yoy,m2_growth,credit_growth,dlog_fx_reserves,fiscal_balance,oil_revenue_share,credit_m2_ratio,oil_revenue,fx_reserves_yoy,fx_reserves_diff,reserves_flag,dummy_2016q4,dummy_covid
2009-Q1,74.7977,3212.5321,3617.7201,2095.762,1275.141,,,422.2,367.6,1694.8477,3.9342,,2.2593,5.4631,9.6769,18.0205,,54.6,10.23,60.84,43.2,,,,0,0
2009-Q2,75.3258,3283.6004,3679.1597,2092.265,1309.052,,,477.8,476.4,1722.535,4.7702,0.836,1.0502,5.1454,12.0826,16.4544,,1.4,30.12,62.57,143.9,,,,0,0
2009-Q3,74.9523,3285.9377,3679.2191,2106.8463,1337.1407,,,455.3,536.7,1667.477,2.4734,-2.2968,3.2388,3.8536,9.3314,16.1618,,-81.4,35.47,63.47,161.5,,,,0,0
2009-Q4,75.1293,3354.622,3708.1322,2169.5507,1378.1143,6519.36,8.7825,484.3,551.1,1691.1183,1.2059,-1.2675,3.7964,0.1547,4.7973,11.4876,,-66.8,32.77,63.52,158.7,,,0.0,0,0
2010-Q1,75.3295,3336.7636,3700.3285,2293.4257,1464.179,6507.05,8.7806,460.7,452.0,1750.2893,0.711,-0.4949,2.2834,1.5483,9.4316,14.8249,-0.0019,8.7,15.58,63.84,71.8,,-12.31,0.0,0,0
2010-Q2,75.4082,3326.3806,3776.326,2333.006,1521.3203,6734.48,8.815,430.6,525.4,1768.867,0.1094,-0.6016,2.641,-1.3038,11.5062,16.2154,0.0344,-94.8,32.54,65.21,140.1,,227.44,0.0,0,0
2010-Q3,76.1119,3390.6102,3799.7692,2425.7773,1452.589,6532.85,8.7846,440.7,456.2,1749.277,1.5471,1.4377,3.2765,-0.0881,15.1378,8.634,-0.0304,-15.5,29.11,59.88,128.3,,-201.63,0.0,0,0
2010-Q4,77.0753,3556.7997,3833.5068,2566.7397,1546.2167,6740.57,8.8159,529.0,566.7,1793.327,2.5902,1.0431,3.3811,2.5593,18.3074,12.198,0.0313,-37.7,28.41,60.24,150.3,3.39,207.72,0.0,0,0
2011-Q1,77.4979,3518.4687,3817.399,2575.1193,1608.5853,6829.86,8.8291,567.9,409.4,1833.178,2.8786,0.2884,3.1638,2.2118,12.2827,9.8626,0.0132,158.5,23.4,62.47,132.9,4.96,89.28,0.0,0,0
2011-Q2,77.5449,3546.2208,3854.2562,2587.78,1752.9133,7881.16,8.9722,506.5,640.9,1762.169,2.8335,-0.0451,2.0637,4.4534,10.9204,15.2232,0.1432,-134.4,25.96,67.74,131.5,17.03,1051.31,0.0,0,0
2011-Q3,78.5898,3657.1996,3942.5548,2690.637,1879.6167,7694.58,8.9483,543.2,666.4,1583.0253,3.2556,0.4221,3.7577,3.9562,10.9185,29.3977,-0.024,-123.2,31.63,69.86,171.8,17.78,-186.59,0.0,0,0
2011-Q4,79.2238,3712.8854,4006.3171,2816.8123,1961.8003,8106.22,9.0004,568.4,685.9,1565.143,2.7875,-0.4681,4.5079,-0.1144,9.7428,26.8775,0.0521,-117.5,35.5,69.65,201.8,20.26,411.64,0.0,0,0
2012-Q1,79.1005,3854.9055,4090.8645,2761.5953,1917.0337,8187.9,9.0104,582.2,545.4,1562.9717,2.0679,-0.7196,7.1637,2.2381,7.2415,19.1751,0.01,36.8,19.37,69.42,112.8,19.88,81.68,0.0,0,0
2012-Q2,79.7784,3860.1264,4114.2172,2699.8157,2012.6633,8228.54,9.0154,615.1,704.5,1487.0073,2.8803,0.8124,6.7448,1.974,4.3294,14.8182,0.005,-89.4,30.5,74.55,187.6,4.41,40.64,0.0,0,0
2012-Q3,80.378,3867.4732,4106.6848,2764.1813,2056.9643,8842.07,9.0873,561.9,613.0,1448.157,2.2754,-0.6049,4.163,1.5231,2.7333,9.4353,0.0719,-51.1,31.38,74.41,176.3,14.91,613.53,0.0,0,0
2012-Q4,81.0319,3813.3531,4031.3628,2869.573,2005.2947,8865.08,9.0899,609.1,692.0,1486.7403,2.2823,0.0069,0.6252,2.0679,1.8731,2.2171,0.0026,-82.9,35.51,69.88,216.3,9.36,23.0,0.0,0,0
2013-Q1,81.1521,4062.4702,4246.4,3007.413,2047.884,8351.79,9.0302,588.4,551.4,1568.3383,2.5937,0.3114,3.802,1.5244,8.9013,6.8257,-0.0596,37.0,17.01,68.09,100.1,2.0,-513.29,0.0,0,0
2013-Q2,81.3166,4086.3501,4260.0661,3044.9623,2094.0097,8962.82,9.1008,560.0,813.4,1601.1773,1.9281,-0.6656,3.545,2.2362,12.7841,4.0417,0.0706,-253.4,27.04,68.77,151.4,8.92,611.03,0.0,0,0
2013-Q3,81.812,4170.4997,4322.2405,3078.4227,2194.435,8474.07,9.0448,675.2,866.4,1509.7667,1.7841,-0.144,5.2489,2.4573,11.3683,6.6832,-0.0561,-191.2,30.92,71.28,208.8,-4.16,-488.75,0.0,0,0
2013-Q4,82.6462,4339.2333,4330.8485,3179.949,2286.3553,8777.48,9.0799,752.3,968.0,1500.9047,1.9922,0.2081,7.4289,5.9216,10.8161,14.0159,0.0352,-215.7,31.81,71.9,239.3,-0.99,303.4,0.0,0,0
2014-Q1,82.203,4325.9731,4412.4757,3284.8257,2287.5687,8339.71,9.0288,679.89,611.74,1546.3967,1.295,-0.6972,3.911,2.4783,9.2243,11.704,-0.0512,68.15,15.09,69.64,102.57,-0.14,-437.77,0.0,0,0
2014-Q2,82.0987,4366.9881,4479.6093,3309.448,2341.1407,8579.99,9.0572,675.83,978.3,1618.971,0.9618,-0.3332,5.1535,1.6302,8.686,11.8018,0.0284,-302.46,26.21,70.74,177.12,-4.27,240.28,0.0,0,0
2014-Q3,84.0541,4497.5541,4521.418,3324.9997,2376.2887,8333.59,9.028,704.48,855.33,1564.0067,2.7406,1.7788,4.6082,3.0914,8.0098,8.287,-0.0291,-150.86,25.45,71.47,179.28,-1.66,-246.4,0.0,0,0
2014-Q4,84.5755,4775.6077,4727.5475,3507.3327,2447.4737,8387.47,9.0345,798.31,1063.34,1630.0053,2.3344,-0.4062,9.1598,0.8214,10.2952,7.047,0.0064,-265.03,27.54,69.78,219.83,-4.44,53.88,0.0,0,0
2015-Q1,84.6016,4590.3825,4647.0709,3550.5657,2429.4997,7083.03,8.8655,647.48,711.38,1612.4483,2.9179,0.5835,5.3166,0.7553,8.0899,6.2044,-0.169,-63.9,2.73,68.43,17.68,-15.07,-1304.44,0.0,0,0
2015-Q2,85.3316,4748.9242,4764.076,3513.818,2531.4357,7010.75,8.8552,813.61,867.61,1578.8287,3.9378,1.0199,6.3503,2.2527,6.1754,8.1283,-0.0103,-54.0,19.54,72.04,158.99,-18.29,-72.28,0.0,0,0
2015-Q3,85.9052,4778.4968,4849.1232,3642.0053,2701.329,6379.58,8.7609,777.0,860.67,1600.5847,2.2023,-1.7355,7.2478,-0.9336,9.534,13.6785,-0.0943,-83.67,25.58,74.17,198.76,-23.45,-631.18,0.0,0,0
2015-Q4,86.0355,4925.2631,4908.8253,3835.128,2791.373,6238.28,8.7385,764.07,976.03,1995.9043,1.7263,-0.476,3.8345,-0.6748,9.346,14.0512,-0.0224,-211.96,23.68,72.78,180.95,-25.62,-141.3,0.0,0,0
2016-Q1,85.8487,4771.2747,4876.8954,3952.7093,2724.7977,5353.05,8.5854,668.3,849.6,2045.5007,1.4741,-0.2522,4.9456,-0.9575,11.3262,12.1547,-0.153,-181.3,1.2,68.93,8.0,-24.42,-885.23,0.0,0,0
2016-Q2,86.2138,5010.6444,5035.8267,3918.4593,2734.7463,4522.19,8.4168,682.6,860.7,1936.5473,1.0338,-0.4403,5.7042,-0.1827,11.5157,8.0314,-0.1687,-178.1,16.17,69.79,110.4,-35.5,-830.86,1.0,0,0
2016-Q3,86.4377,4995.1982,5002.4485,3984.2673,2822.1843,3575.7,8.1819,660.6,854.4,1745.2927,0.6199,-0.4139,3.1619,1.331,9.3976,4.4739,-0.2348,-193.8,18.68,70.83,123.4,-43.95,-946.49,1.0,0,0
2016-Q4,86.3486,5261.4487,5123.3954,4073.2873,2912.6337,3093.25,8.037,773.0,1476.8,1713.2747,0.3639,-0.256,4.3711,2.3518,6.2099,4.3441,-0.1449,-703.8,23.71,71.51,183.3,-50.42,-482.45,1.0,1,0
2017-Q1,86.218,5013.4244,5099.1682,4121.8547,2957.004,2765.81,7.9251,683.82,690.66,1699.7613,0.4302,0.0663,4.5577,0.4949,4.2792,8.522,-0.1119,-6.85,12.26,71.74,83.83,-48.33,-327.44,1.0,0,0
2017-Q2,86.6873,5286.7873,5232.9196,4136.1283,3002.9113,2624.42,7.8726,754.05,877.0,1667.4717,0.5492,0.119,3.9138,1.5372,5.555,9.8058,-0.0525,-122.95,14.8,72.6,111.63,-41.97,-141.39,1.0,0,0
2017-Q3,87.0262,5255.8917,5237.4428,4199.8073,3011.0887,3013.65,8.0109,670.1,894.0,1748.238,0.6808,0.1316,4.6976,0.4979,5.4098,6.6936,0.1383,-223.9,13.28,71.7,89.0,-15.72,389.23,0.0,0,0
2017-Q4,87.1044,5404.7616,5178.6363,4308.1477,3028.094,3216.08,8.0759,868.0,1338.9,1858.446,0.8753,0.1945,1.0782,1.628,5.7659,3.9641,0.065,-470.9,11.69,70.29,101.5,3.97,202.43,0.0,0,0
2018-Q1,86.948,5292.4533,5298.693,4417.3837,3075.21,3102.53,8.04,732.97,885.53,2018.8197,0.8467,-0.0286,3.9129,1.5904,7.1698,3.9975,-0.0359,-152.55,13.03,69.62,95.52,12.17,-113.55,0.0,0,0
2018-Q2,87.3912,5617.9983,5479.8341,4482.629,3177.797,3072.49,8.0302,822.24,937.3,1900.5283,0.812,-0.0347,4.7185,1.4767,8.3774,5.8239,-0.0097,-115.06,15.16,70.89,124.64,17.07,-30.04,0.0,0,0
2018-Q3,87.7823,5496.5148,5359.2337,4500.0787,3260.277,3187.43,8.067,827.78,1014.5,1826.7607,0.8688,0.0568,2.3254,2.2015,7.1496,8.2757,0.0367,-186.71,14.91,72.45,123.44,5.77,114.94,0.0,0,0
