date,fx_reserves,fx_reserves_yoy,fx_reserves_diff,reserves_flag
2009-Q4,6519.36,,,0.0
2010-Q1,6507.05,,-12.31,0.0
2010-Q2,6734.48,,227.44,0.0
2010-Q3,6532.85,,-201.63,0.0
2010-Q4,6740.57,3.39,207.72,0.0
2011-Q1,6829.86,4.96,89.28,0.0
2011-Q2,7881.16,17.03,1051.31,0.0
2011-Q3,7694.58,17.78,-186.59,0.0
2011-Q4,8106.22,20.26,411.64,0.0
2012-Q1,8187.9,19.88,81.68,0.0
2012-Q2,8228.54,4.41,40.64,0.0
2012-Q3,8842.07,14.91,613.53,0.0
2012-Q4,8865.08,9.36,23.0,0.0
2013-Q1,8351.79,2.0,-513.29,0.0
2013-Q2,8962.82,8.92,611.03,0.0
2013-Q3,8474.07,-4.16,-488.75,0.0
2013-Q4,8777.48,-0.99,303.4,0.0
2014-Q1,8339.71,-0.14,-437.77,0.0
2014-Q2,8579.99,-4.27,240.28,0.0
2014-Q3,8333.59,-1.66,-246.4,0.0
2014-Q4,8387.47,-4.44,53.88,0.0
2015-Q1,7083.03,-15.07,-1304.44,0.0
2015-Q2,7010.75,-18.29,-72.28,0.0
2015-Q3,6379.58,-23.45,-631.18,0.0
2015-Q4,6238.28,-25.62,-141.3,0.0
2016-Q1,5353.05,-24.42,-885.23,0.0
2016-Q2,4522.19,-35.5,-830.86,1.0
2016-Q3,3575.7,-43.95,-946.49,1.0
2016-Q4,3093.25,-50.42,-482.45,1.0
2017-Q1,2765.81,-48.33,-327.44,1.0
2017-Q2,2624.42,-41.97,-141.39,1.0
2017-Q3,3013.65,-15.72,389.23,0.0
2017-Q4,3216.08,3.97,202.43,0.0
2018-Q1,3102.53,12.17,-113.55,0.0
2018-Q2,3072.49,17.07,-30.04,0.0
2018-Q3,3187.43,5.77,114.94,0.0
2018-Q4,3776.55,17.43,589.11,0.0
2019-Q1,3888.09,25.32,111.55,0.0
2019-Q2,4279.63,39.29,391.53,1.0
2019-Q3,4080.72,28.03,-198.91,0.0
2019-Q4,4466.91,18.28,386.19,0.0
2020-Q1,4576.58,17.71,109.68,0.0
2020-Q2,4905.23,14.62,328.65,0.0
2020-Q3,4615.18,13.1,-290.05,0.0
2020-Q4,4193.16,-6.13,-422.03,0.0
2021-Q1,3827.51,-16.37,-365.64,0.0
2021-Q2,3974.68,-18.97,147.17,0.0
2021-Q3,4508.06,-2.32,533.38,0.0
2021-Q4,4709.82,12.32,201.75,0.0
2022-Q1,4880.66,27.52,170.85,0.0
2022-Q2,5612.43,41.2,731.77,1.0
2022-Q3,6111.35,35.56,498.92,1.0
2022-Q4,6853.78,45.52,742.43,1.0
2023-Q1,6781.65,38.95,-72.13,1.0
2023-Q2,7071.16,25.99,289.51,0.0
2023-Q3,6542.29,7.05,-528.87,0.0
2023-Q4,6885.96,0.47,343.67,0.0
2024-Q1,6485.09,-4.37,-400.87,0.0
2024-Q2,6451.85,-8.76,-33.24,0.0
2024-Q3,6423.64,-1.81,-28.21,0.0
2024-Q4,7294.31,5.93,870.67,0.0
