date,beac_rate,cemac_inflation,reserves_cemac,delta_beac,log_reserves_cemac,dlog_reserves_cemac
2008-Q1,5.25,4.1835,,,,
2008-Q2,5.25,5.1421,,0.0,,
2008-Q3,5.5,7.1523,,0.25,,
2008-Q4,4.75,6.7916,,-0.75,,
2009-Q1,4.5,7.8771,,-0.25,,
2009-Q2,4.5,6.1992,,0.0,,
2009-Q3,4.25,3.8711,,-0.25,,
2009-Q4,4.25,2.6886,6.5,0.0,1.8718,
2010-Q1,4.25,0.2233,6.5,0.0,1.8718,0.0
2010-Q2,4.25,0.2665,6.7,0.0,1.9021,0.0303
2010-Q3,4.0,1.5797,6.5,-0.25,1.8718,-0.0303
2010-Q4,4.0,2.162,6.7,0.0,1.9021,0.0303
2011-Q1,4.0,1.5486,6.8,0.0,1.9169,0.0148
2011-Q2,4.0,2.2729,7.9,0.0,2.0669,0.1499
2011-Q3,4.0,2.7248,7.7,0.0,2.0412,-0.0256
2011-Q4,4.0,3.0962,8.1,0.0,2.0919,0.0506
2012-Q1,4.0,4.2343,8.2,0.0,2.1041,0.0123
2012-Q2,4.0,3.585,8.2,0.0,2.1041,0.0
2012-Q3,4.0,3.7367,8.8,0.0,2.1748,0.0706
2012-Q4,4.0,3.0783,8.9,0.0,2.1861,0.0113
2013-Q1,4.0,2.5093,8.4,0.0,2.1282,-0.0578
2013-Q2,3.25,2.0457,9.0,-0.75,2.1972,0.069
2013-Q3,3.25,0.9371,8.5,0.0,2.1401,-0.0572
2013-Q4,3.25,2.5276,8.8,0.0,2.1748,0.0347
2014-Q1,3.25,2.6417,8.3,0.0,2.1163,-0.0585
2014-Q2,3.25,2.9003,8.6,0.0,2.1518,0.0355
2014-Q3,2.95,3.5136,8.3,-0.3,2.1163,-0.0355
2014-Q4,2.95,2.6103,8.4,0.0,2.1282,0.012
2015-Q1,2.95,2.2475,7.1,0.0,1.9601,-0.1681
2015-Q2,2.95,3.1896,7.0,0.0,1.9459,-0.0142
2015-Q3,2.45,2.3929,6.4,-0.5,1.8563,-0.0896
2015-Q4,2.45,1.6364,6.2,0.0,1.8245,-0.0317
2016-Q1,2.45,1.9672,5.4,0.0,1.6864,-0.1382
2016-Q2,2.45,1.4553,4.5,0.0,1.5041,-0.1823
2016-Q3,2.45,0.8366,3.6,0.0,1.2809,-0.2231
2016-Q4,2.45,0.6185,3.1,0.0,1.1314,-0.1495
2017-Q1,2.95,0.2003,2.8,0.5,1.0296,-0.1018
2017-Q2,2.95,0.68,2.6,0.0,0.9555,-0.0741
2017-Q3,2.95,0.9035,3.0,0.0,1.0986,0.1431
2017-Q4,2.95,1.1128,3.2,0.0,1.1632,0.0645
2018-Q1,2.95,1.2058,3.1,0.0,1.1314,-0.0317
2018-Q2,2.95,2.2073,3.1,0.0,1.1314,0.0
2018-Q3,2.95,2.3751,3.2,0.0,1.1632,0.0317
2018-Q4,3.5,3.0906,3.8,0.55,1.335,0.1719
2019-Q1,3.5,2.4401,3.9,0.0,1.361,0.026
2019-Q2,3.5,1.2833,4.3,0.0,1.4586,0.0976
2019-Q3,3.5,0.835,4.1,0.0,1.411,-0.0476
2019-Q4,3.5,1.0099,4.5,0.0,1.5041,0.0931
2020-Q1,3.25,1.0982,4.6,-0.25,1.5261,0.022
2020-Q2,3.25,1.6901,4.9,0.0,1.5892,0.0632
2020-Q3,3.25,1.8638,4.6,0.0,1.5261,-0.0632
2020-Q4,3.25,0.8375,4.2,0.0,1.4351,-0.091
2021-Q1,3.25,1.3816,3.8,0.0,1.335,-0.1001
2021-Q2,3.25,0.9315,4.0,0.0,1.3863,0.0513
2021-Q3,3.25,1.2355,4.5,0.0,1.5041,0.1178
2021-Q4,3.5,1.6762,4.7,0.25,1.5476,0.0435
2022-Q1,4.0,3.3805,4.9,0.5,1.5892,0.0417
2022-Q2,4.0,5.0024,5.6,0.0,1.7228,0.1335
2022-Q3,4.5,6.1924,6.1,0.5,1.8083,0.0855
2022-Q4,4.5,6.9086,6.9,0.0,1.9315,0.1232
2023-Q1,5.0,6.4558,6.8,0.5,1.9169,-0.0146
2023-Q2,5.0,5.277,7.1,0.0,1.9601,0.0432
2023-Q3,5.0,4.7851,6.5,0.0,1.8718,-0.0883
2023-Q4,5.0,4.5898,6.9,0.0,1.9315,0.0597
2024-Q1,5.0,3.6276,6.5,0.0,1.8718,-0.0597
2024-Q2,5.0,4.0173,6.5,0.0,1.8718,0.0
2024-Q3,5.0,3.967,6.4,0.0,1.8563,-0.0155
2024-Q4,5.0,3.8482,7.3,0.0,1.9879,0.1316
