date,balance_courante_pct_pib,delta_balance_courante,ouverture_commerciale,exports_usd,imports_usd,log_exports,balance_courante_pct_pib_annual,ouverture_commerciale_annual
2008-Q1,-1.6293,,56.9244,1855248706.5737,2118139377.2188,21.3413,-1.6293,56.9244
2008-Q2,-1.6293,,56.9244,1855248706.5737,2118139377.2188,21.3413,-1.6293,56.9244
2008-Q3,-1.6293,,56.9244,1855248706.5737,2118139377.2188,21.3413,-1.6293,56.9244
2008-Q4,-1.6293,,56.9244,1855248706.5737,2118139377.2188,21.3413,-1.6293,56.9244
2009-Q1,-2.2272,-0.5979,53.2373,1366625000.6933,1717341472.1849,21.0356,-4.021,42.1761
2009-Q2,-2.8251,-1.1958,49.5503,1366625000.6933,1717341472.1849,21.0356,-4.021,42.1761
2009-Q3,-3.4231,-1.7938,45.8632,1366625000.6933,1717341472.1849,21.0356,-4.021,42.1761
2009-Q4,-4.021,-2.3917,42.1761,1366625000.6933,1717341472.1849,21.0356,-4.021,42.1761
2010-Q1,-3.7947,-1.5675,43.4417,1426595463.7969,1677411832.286,21.0786,-3.116,47.2386
2010-Q2,-3.5685,-0.7434,44.7073,1426595463.7969,1677411832.286,21.0786,-3.116,47.2386
2010-Q3,-3.3423,0.0808,45.973,1426595463.7969,1677411832.286,21.0786,-3.116,47.2386
2010-Q4,-3.116,0.9049,47.2386,1426595463.7969,1677411832.286,21.0786,-3.116,47.2386
2011-Q1,-2.9485,0.8462,48.3094,1921051225.6007,2172848246.375,21.3761,-2.4459,51.522
2011-Q2,-2.781,0.7875,49.3803,1921051225.6007,2172848246.375,21.3761,-2.4459,51.522
2011-Q3,-2.6134,0.7288,50.4511,1921051225.6007,2172848246.375,21.3761,-2.4459,51.522
2011-Q4,-2.4459,0.6701,51.522,1921051225.6007,2172848246.375,21.3761,-2.4459,51.522
2012-Q1,-2.6269,0.3216,51.1505,1897643172.8049,2202459190.7025,21.3639,-3.1701,50.036
2012-Q2,-2.808,-0.027,50.779,1897643172.8049,2202459190.7025,21.3639,-3.1701,50.036
2012-Q3,-2.989,-0.3756,50.4075,1897643172.8049,2202459190.7025,21.3639,-3.1701,50.036
2012-Q4,-3.1701,-0.7242,50.036,1897643172.8049,2202459190.7025,21.3639,-3.1701,50.036
2013-Q1,-3.2137,-0.5868,49.9456,2048918411.819,2407071629.7117,21.4406,-3.3446,49.6745
2013-Q2,-3.2573,-0.4494,49.8553,2048918411.819,2407071629.7117,21.4406,-3.3446,49.6745
2013-Q3,-3.301,-0.3119,49.7649,2048918411.819,2407071629.7117,21.4406,-3.3446,49.6745
2013-Q4,-3.3446,-0.1745,49.6745,2048918411.819,2407071629.7117,21.4406,-3.3446,49.6745
2014-Q1,-3.4717,-0.258,49.964,2191165446.1377,2631490706.838,21.5077,-3.853,50.8324
2014-Q2,-3.5988,-0.3415,50.2535,2191165446.1377,2631490706.838,21.5077,-3.853,50.8324
2014-Q3,-3.7259,-0.4249,50.5429,2191165446.1377,2631490706.838,21.5077,-3.853,50.8324
2014-Q4,-3.853,-0.5084,50.8324,2191165446.1377,2631490706.838,21.5077,-3.853,50.8324
2015-Q1,-3.8007,-0.329,49.5093,1729498931.5825,2102165779.603,21.2711,-3.6438,45.5401
2015-Q2,-3.7484,-0.1496,48.1863,1729498931.5825,2102165779.603,21.2711,-3.6438,45.5401
2015-Q3,-3.6961,0.0298,46.8632,1729498931.5825,2102165779.603,21.2711,-3.6438,45.5401
2015-Q4,-3.6438,0.2092,45.5401,1729498931.5825,2102165779.603,21.2711,-3.6438,45.5401
2016-Q1,-3.4999,0.3008,44.3148,1612653097.8449,1958844923.7835,21.2011,-3.0681,40.6386
2016-Q2,-3.356,0.3925,43.0894,1612653097.8449,1958844923.7835,21.2011,-3.0681,40.6386
2016-Q3,-3.212,0.4841,41.864,1612653097.8449,1958844923.7835,21.2011,-3.0681,40.6386
2016-Q4,-3.0681,0.5758,40.6386,1612653097.8449,1958844923.7835,21.2011,-3.0681,40.6386
2017-Q1,-2.9588,0.5411,40.2787,1685773116.6225,2029287535.495,21.2455,-2.631,39.199
2017-Q2,-2.8495,0.5064,39.9188,1685773116.6225,2029287535.495,21.2455,-2.631,39.199
2017-Q3,-2.7403,0.4717,39.5589,1685773116.6225,2029287535.495,21.2455,-2.631,39.199
2017-Q4,-2.631,0.437,39.199,1685773116.6225,2029287535.495,21.2455,-2.631,39.199
2018-Q1,-2.8551,0.1037,39.5462,1877882298.4674,2343598655.9811,21.3534,-3.5273,40.5876
