date,gdp_gap_hp,beac_rate,inflation,fiscal_balance,delta_inflation,cemac_inflation,inflation_gap,delta_beac,gdp_growth,m2_growth
2009-Q2,2.2031,4.5,4.7702,1.4,0.836,6.1992,1.7702,0.0,1.0502,12.0826
2009-Q3,1.1065,4.25,2.4734,-81.4,-2.2968,3.8711,-0.5266,-0.25,3.2388,9.3314
2009-Q4,0.8143,4.25,1.2059,-66.8,-1.2675,2.6886,-1.7941,0.0,3.7964,4.7973
2010-Q1,-0.4656,4.25,0.711,8.7,-0.4949,0.2233,-2.289,0.0,2.2834,9.4316
2010-Q2,0.5023,4.25,0.1094,-94.8,-0.6016,0.2665,-2.8906,0.0,2.641,11.5062
2010-Q3,0.0532,4.0,1.5471,-15.5,1.4377,1.5797,-1.4529,-0.25,3.2765,15.1378
2010-Q4,-0.134,4.0,2.5902,-37.7,1.0431,2.162,-0.4098,0.0,3.3811,18.3074
2011-Q1,-1.6208,4.0,2.8786,158.5,0.2884,1.5486,-0.1214,0.0,3.1638,12.2827
2011-Q2,-1.7474,4.0,2.8335,-134.4,-0.0451,2.2729,-0.1665,0.0,2.0637,10.9204
2011-Q3,-0.5979,4.0,3.2556,-123.2,0.4221,2.7248,0.2556,0.0,3.7577,10.9185
2011-Q4,-0.1102,4.0,2.7875,-117.5,-0.4681,3.0962,-0.2125,0.0,4.5079,9.7428
2012-Q1,0.8536,4.0,2.0679,36.8,-0.7196,4.2343,-0.9321,0.0,7.1637,7.2415
2012-Q2,0.2781,4.0,2.8803,-89.4,0.8124,3.585,-0.1197,0.0,6.7448,4.3294
2012-Q3,-1.0552,4.0,2.2754,-51.1,-0.6049,3.7367,-0.7246,0.0,4.163,2.7333
2012-Q4,-3.9998,4.0,2.2823,-82.9,0.0069,3.0783,-0.7177,0.0,0.6252,1.8731
2013-Q1,-0.0699,4.0,2.5937,37.0,0.3114,2.5093,-0.4063,0.0,3.802,8.9013
2013-Q2,-0.9411,3.25,1.9281,-253.4,-0.6656,2.0457,-1.0719,-0.75,3.545,12.7841
2013-Q3,-0.7009,3.25,1.7841,-191.2,-0.144,0.9371,-1.2159,0.0,5.2489,11.3683
2013-Q4,-1.7036,3.25,1.9922,-215.7,0.2081,2.5276,-1.0078,0.0,7.4289,10.8161
2014-Q1,-1.0631,3.25,1.295,68.15,-0.6972,2.6417,-1.705,0.0,3.911,9.2243
2014-Q2,-0.7733,3.25,0.9618,-302.46,-0.3332,2.9003,-2.0382,0.0,5.1535,8.686
2014-Q3,-1.0546,2.95,2.7406,-150.86,1.7788,3.5136,-0.2594,-0.3,4.6082,8.0098
2014-Q4,2.2186,2.95,2.3344,-265.03,-0.4062,2.6103,-0.6656,0.0,9.1598,10.2952
2015-Q1,-0.7089,2.95,2.9179,-63.9,0.5835,2.2475,-0.0821,0.0,5.3166,8.0899
2015-Q2,0.6064,2.95,3.9378,-54.0,1.0199,3.1896,0.9378,0.0,6.3503,6.1754
2015-Q3,1.2329,2.45,2.2023,-83.67,-1.7355,2.3929,-0.7977,-0.5,7.2478,9.534
2015-Q4,1.3345,2.45,1.7263,-211.96,-0.476,1.6364,-1.2737,0.0,3.8345,9.346
2016-Q1,-0.4216,2.45,1.4741,-181.3,-0.2522,1.9672,-1.5259,0.0,4.9456,11.3262
2016-Q2,1.7328,2.45,1.0338,-178.1,-0.4403,1.4553,-1.9662,0.0,5.7042,11.5157
2016-Q3,0.0174,2.45,0.6199,-193.8,-0.4139,0.8366,-2.3801,0.0,3.1619,9.3976
2016-Q4,1.4122,2.45,0.3639,-703.8,-0.256,0.6185,-2.6361,0.0,4.3711,6.2099
2017-Q1,-0.0437,2.95,0.4302,-6.85,0.0663,0.2003,-2.5698,0.5,4.5577,4.2792
2017-Q2,1.6179,2.95,0.5492,-122.95,0.119,0.68,-2.4508,0.0,3.9138,5.555
2017-Q3,0.7854,2.95,0.6808,-223.9,0.1316,0.9035,-2.3192,0.0,4.6976,5.4098
2017-Q4,-1.2183,2.95,0.8753,-470.9,0.1945,1.1128,-2.1247,0.0,1.0782,5.7659
2018-Q1,0.2158,2.95,0.8467,-152.55,-0.0286,1.2058,-2.1533,0.0,3.9129,7.1698
2018-Q2,2.7923,2.95,0.812,-115.06,-0.0347,2.2073,-2.188,0.0,4.7185,8.3774
2018-Q3,-0.2673,2.95,0.8688,-186.71,0.0568,2.3751,-2.1312,0.0,2.3254,7.1496
2018-Q4,0.2926,3.5,1.766,-132.49,0.8972,3.0906,-1.234,0.55,4.8752,10.7658
2019-Q1,0.0728,3.5,2.2489,-0.81,0.4829,2.4401,-0.7511,0.0,3.0449,11.9265
2019-Q2,3.1389,3.5,2.5358,-330.4,0.2869,1.2833,-0.4642,0.0,3.4454,14.409
2019-Q3,0.7507,3.5,2.6136,-256.07,0.0778,0.835,-0.3864,0.0,4.0653,16.1091
2019-Q4,0.6826,3.5,2.4117,-295.0,-0.2019,1.0099,-0.5883,0.0,3.3422,12.0329
2020-Q1,-1.3748,3.25,2.6004,-54.12,0.1887,1.0982,-0.3996,-0.25,1.3959,11.7943
2020-Q2,-1.7262,3.25,2.4423,-266.45,-0.1581,1.6901,-0.5577,0.0,-2.0078,10.5715
2020-Q3,-1.6337,3.25,2.4908,-62.71,0.0485,1.8638,-0.5092,0.0,0.3875,10.6354
2020-Q4,-0.7831,3.25,2.233,-388.46,-0.2578,0.8375,-0.767,0.0,1.3184,12.1761
2021-Q1,-1.3892,3.25,1.8844,98.97,-0.3486,1.3816,-1.1156,0.0,2.8082,11.8982
2021-Q2,0.2053,3.25,2.0992,-319.13,0.2148,0.9315,-0.9008,0.0,4.8625,16.0707
2021-Q3,-1.3922,3.25,2.3963,-263.97,0.2971,1.2355,-0.6037,0.0,3.1178,16.3889
2021-Q4,-1.0803,3.5,2.6604,-273.58,0.2641,1.6762,-0.3396,0.25,2.5847,16.4055
2022-Q1,-0.7052,4.0,4.4023,252.5,1.7419,3.3805,1.4023,0.5,3.6359,16.3324
2022-Q2,1.4972,4.0,5.8342,-157.69,1.4319,5.0024,2.8342,0.0,4.2774,10.2133
2022-Q3,-0.4374,4.5,6.9581,-214.38,1.1239,6.1924,3.9581,0.5,3.9725,12.3557
2022-Q4,-1.0171,4.5,7.7639,-212.16,0.8058,6.9086,4.7639,0.0,3.0626,11.6985
2023-Q1,-0.8072,5.0,7.9628,329.09,0.1989,6.4558,4.9628,0.5,2.9081,11.3599
2023-Q2,1.8832,5.0,7.9471,-409.53,-0.0157,5.277,4.9471,0.0,3.4183,12.4733
2023-Q3,-0.6126,5.0,7.3531,-14.54,-0.594,4.7851,4.3531,0.0,2.853,5.4508
2023-Q4,-0.2803,5.0,6.2429,-174.65,-1.1102,4.5898,3.2429,0.0,3.8041,5.4372
2024-Q1,0.0104,5.0,4.9788,85.74,-1.2641,3.6276,1.9788,0.0,3.884,6.0681
2024-Q2,1.2382,5.0,4.4454,-190.65,-0.5334,4.0173,1.4454,0.0,2.3751,5.8439
2024-Q3,-0.2818,5.0,4.0314,-109.94,-0.414,3.967,1.0314,0.0,3.3587,8.2572
2024-Q4,0.9151,5.0,4.701,-308.42,0.6696,3.8482,1.701,0.0,4.2353,7.4461
